"['100020307', '116.0134955', '39.71338466']"
"['100020307', '116.0134976', '39.71414577']"
"['100020307', '116.0134955', '39.71338466']"
"['100020307', '116.0134976', '39.71414577']"
"['100020307', '116.0134955', '39.71338466']"
"['100020307', '116.0134976', '39.71414577']"
"['100020307', '116.0134955', '39.71338466']"
"['100020307', '116.0134976', '39.71414577']"
"['100020307', '116.0134955', '39.71338466']"
"['100020307', '116.0134976', '39.71414577']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['100020307', '116.0134955', '39.71338466']"
"['100020307', '116.0134976', '39.71414577']"
"['100020307', '116.0134955', '39.71338466']"
"['100020307', '116.0134976', '39.71414577']"
"['100020307', '116.0134955', '39.71338466']"
"['100020307', '116.0134976', '39.71414577']"
"['100020307', '116.0134955', '39.71338466']"
"['100020307', '116.0134976', '39.71414577']"
"['100020307', '116.0134955', '39.71338466']"
"['100020307', '116.0134976', '39.71414577']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106681911', '116.0226072', '39.68357732']"
"['106681911', '116.0227076', '39.68368663']"
"['106819467', '116.0317737', '39.71756036']"
"['106819467', '116.0317496', '39.71763731']"
"['106819467', '116.0317737', '39.71756036']"
"['106819467', '116.0317496', '39.71763731']"
"['106819467', '116.0317737', '39.71756036']"
"['106819467', '116.0317496', '39.71763731']"
"['106039519', '116.0268176', '39.74540785']"
"['106039519', '116.0268507', '39.74539294']"
"['106039519', '116.0268176', '39.74540785']"
"['106039519', '116.0268507', '39.74539294']"
"['106501214', '116.0265007', '39.81859763']"
"['106501214', '116.0265298', '39.81856471']"
"['106151014', '116.0218231', '39.87121928']"
"['106151014', '116.0219726', '39.87096371']"
"['106151014', '116.0218231', '39.87121928']"
"['106151014', '116.0219726', '39.87096371']"
"['106168712', '116.0299711', '39.87751898']"
"['106168712', '116.0299852', '39.87748702']"
"['106168712', '116.0299711', '39.87751898']"
"['106168712', '116.0299852', '39.87748702']"
"['106168712', '116.0299711', '39.87751898']"
"['106168712', '116.0299852', '39.87748702']"
"['106168712', '116.0299711', '39.87751898']"
"['106168712', '116.0299852', '39.87748702']"
"['106168712', '116.0299711', '39.87751898']"
